kbtest: capturando eventos de teclado...
Se o mapa estiver APLICADO, estas teclas digitam digitos:
  'a' -> '1' (keycode 18)  |  Ctrl-esq -> '2' (19)
  Ctrl-dir -> '3' (20)     |  '?' -> '4' (21)
Keycodes p/ comparar: a=0, 1=18, 2=19, 3=20, 4=21,
  ctrl-esq=59, ctrl-dir=62
------------------------------------------------------------
PRONTO. Aperte agora, cada uma 2-3x: 'a', Ctrl-esq, Ctrl-dir, '?'
DOWN kc= 51(0x33) flags=- chars=(1, '\x08')
UP   kc= 51(0x33) flags=- chars=(1, '\x08')
DOWN kc= 51(0x33) flags=- chars=(1, '\x08')
UP   kc= 51(0x33) flags=- chars=(1, '\x08')
FLAG kc= 62(0x3e) flags=CTRL chars=(0, '')
FLAG kc= 62(0x3e) flags=- chars=(0, '')
FLAG kc= 62(0x3e) flags=CTRL chars=(0, '')
FLAG kc= 62(0x3e) flags=- chars=(0, '')
FLAG kc= 60(0x3c) flags=SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=CTRL,SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=CTRL,SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=SHIFT chars=(0, '')
FLAG kc= 60(0x3c) flags=- chars=(0, '')
FLAG kc= 60(0x3c) flags=SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=CTRL,SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=SHIFT chars=(0, '')
FLAG kc= 62(0x3e) flags=CTRL,SHIFT chars=(0, '')
FLAG kc= 60(0x3c) flags=CTRL chars=(0, '')
FLAG kc= 62(0x3e) flags=- chars=(0, '')
DOWN kc=  3(0x03) flags=- chars=(1, 'f')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  3(0x03) flags=- chars=(1, 'f')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc=  6(0x06) flags=- chars=(1, 'z')
UP   kc=  6(0x06) flags=- chars=(1, 'z')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 35(0x23) flags=- chars=(1, 'p')
DOWN kc= 37(0x25) flags=- chars=(1, 'l')
UP   kc= 35(0x23) flags=- chars=(1, 'p')
UP   kc= 37(0x25) flags=- chars=(1, 'l')
DOWN kc= 34(0x22) flags=- chars=(1, 'i')
UP   kc= 34(0x22) flags=- chars=(1, 'i')
DOWN kc=  8(0x08) flags=- chars=(1, 'c')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  8(0x08) flags=- chars=(1, 'c')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 41(0x29) flags=- chars=(1, 'ç')
UP   kc= 41(0x29) flags=- chars=(1, 'ç')
DOWN kc= 39(0x27) flags=- chars=(0, '')
DOWN kc=  0(0x00) flags=- chars=(1, 'ã')
UP   kc= 39(0x27) flags=- chars=(1, '~')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc= 31(0x1f) flags=- chars=(1, 'o')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 35(0x23) flags=- chars=(1, 'p')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc= 35(0x23) flags=- chars=(1, 'p')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 14(0x0e) flags=- chars=(1, 'e')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
UP   kc= 14(0x0e) flags=- chars=(1, 'e')
DOWN kc=  8(0x08) flags=- chars=(1, 'c')
DOWN kc= 14(0x0e) flags=- chars=(1, 'e')
UP   kc=  8(0x08) flags=- chars=(1, 'c')
UP   kc= 14(0x0e) flags=- chars=(1, 'e')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 51(0x33) flags=- chars=(1, '\x08')
UP   kc= 51(0x33) flags=- chars=(1, '\x08')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 35(0x23) flags=- chars=(1, 'p')
DOWN kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc= 35(0x23) flags=- chars=(1, 'p')
UP   kc= 31(0x1f) flags=- chars=(1, 'o')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc=  3(0x03) flags=- chars=(1, 'f')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  3(0x03) flags=- chars=(1, 'f')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc=  9(0x09) flags=- chars=(1, 'v')
DOWN kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc=  9(0x09) flags=- chars=(1, 'v')
UP   kc= 31(0x1f) flags=- chars=(1, 'o')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 43(0x2b) flags=- chars=(1, ',')
UP   kc= 43(0x2b) flags=- chars=(1, ',')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 45(0x2d) flags=- chars=(1, 'n')
UP   kc= 45(0x2d) flags=- chars=(1, 'n')
DOWN kc= 39(0x27) flags=- chars=(0, '')
DOWN kc=  0(0x00) flags=- chars=(1, 'ã')
UP   kc= 39(0x27) flags=- chars=(1, '~')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc= 31(0x1f) flags=- chars=(1, 'o')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc=  3(0x03) flags=- chars=(1, 'f')
UP   kc=  3(0x03) flags=- chars=(1, 'f')
DOWN kc= 34(0x22) flags=- chars=(1, 'i')
UP   kc= 34(0x22) flags=- chars=(1, 'i')
DOWN kc=  8(0x08) flags=- chars=(1, 'c')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc=  8(0x08) flags=- chars=(1, 'c')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 14(0x0e) flags=- chars=(1, 'e')
DOWN kc= 46(0x2e) flags=- chars=(1, 'm')
UP   kc= 14(0x0e) flags=- chars=(1, 'e')
UP   kc= 46(0x2e) flags=- chars=(1, 'm')
DOWN kc= 49(0x31) flags=- chars=(1, ' ')
UP   kc= 49(0x31) flags=- chars=(1, ' ')
DOWN kc= 11(0x0b) flags=- chars=(1, 'b')
DOWN kc=  0(0x00) flags=- chars=(1, 'a')
UP   kc= 11(0x0b) flags=- chars=(1, 'b')
UP   kc=  0(0x00) flags=- chars=(1, 'a')
DOWN kc=  8(0x08) flags=- chars=(1, 'c')
DOWN kc= 40(0x28) flags=- chars=(1, 'k')
UP   kc=  8(0x08) flags=- chars=(1, 'c')
UP   kc= 40(0x28) flags=- chars=(1, 'k')
DOWN kc=  5(0x05) flags=- chars=(1, 'g')
UP   kc=  5(0x05) flags=- chars=(1, 'g')
DOWN kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc= 15(0x0f) flags=- chars=(1, 'r')
DOWN kc= 32(0x20) flags=- chars=(1, 'u')
UP   kc= 31(0x1f) flags=- chars=(1, 'o')
UP   kc= 32(0x20) flags=- chars=(1, 'u')
DOWN kc=  2(0x02) flags=- chars=(1, 'd')
UP   kc=  2(0x02) flags=- chars=(1, 'd')
DOWN kc= 47(0x2f) flags=- chars=(1, '.')
